Date;Filename;Group;Male;MRC;AMR;AMR_A3;AMR_C3;Handler;Batch;Age;Seasonality;T.conc;Focal_sec;UW_count;UW_rate
2022-05-12;20220711_04;RM;FI;Stable_subordinate;AMR4;1_Before;NA;YVA;Batch00;7.7;2.86;156.82;0;NA;NA
2022-05-27;20220711_05;AD;BD;Ascending_alpha;AMR2;2_During;3_End;YVA;Batch00;11.8;7.66;9660.38;0;NA;NA
2022-05-18;20220711_06;LV;SB;Stable_subordinate;AMR1;2_During;3_End;MAG;Batch00;7.5;3.16;2643.61;0;NA;NA
2022-05-13;20220711_07;RM;LO;Ascending_alpha;AMR4;1_Before;NA;SRM;Batch00;11.4;2.86;98.03;0;NA;NA
2022-05-13;20220711_09;RM;FG;Ascending_alpha;AMR3;1_Before;NA;MAG;Batch00;13.2;2.86;749.64;0;NA;NA
2022-03-21;20220711_11;LV;PW;Stable_subordinate;AMR1;2_During;3_End;GMC;Batch00;16.2;0;122.88;0;NA;NA
2022-03-04;20220712_05;BC;ES;Descending_alpha;AMR6;1_Before;NA;SRM;Batch01;9;0;3710.14;5814;5;3.1
2022-02-24;20220712_06;GN;EC;Stable_subordinate;AMR5;1_Before;NA;NAC;Batch01;13.1;0;130.22;2983;1;1.2
2022-04-11;20220712_11;RM;LO;Ascending_alpha;AMR4;1_Before;NA;ACP;Batch01;11.3;0;NA;0;NA;NA
2022-02-10;20220712_12;LV;BY;Ascending_alpha;AMR1;2_During;3_End;SRM;Batch01;19.1;0.03;3257.9;0;NA;NA
2022-03-21;20220712_13;LV;HG;Stable_subordinate;AMR1;2_During;3_End;ACP;Batch01;14.9;0;367.91;0;NA;NA
2022-04-29;20220712_15;RM;KO;Descending_alpha;AMR4;1_Before;NA;GMC;Batch01;13.3;0.62;3555.56;0;NA;NA
2022-06-07;20220712_16;AD;CG;Stable_subordinate;AMR2;2_During;3_End;DSS;Batch01;11;14.03;56.69;0;NA;NA
2022-03-28;20220712_17;AD;KN;Descending_alpha;AMR2;2_During;3_End;MAG;Batch01;13.2;0;234.01;0;NA;NA
2022-04-29;20220712_18;RM;FG;Ascending_alpha;AMR3;1_Before;NA;GMC;Batch01;13.2;0.62;749.64;0;NA;NA
2022-03-01;20220712_20;AD;WE;Stable_subordinate;AMR2;2_During;2_Instability;SRM;Batch01;8.3;0;448;2915;0;0
2022-03-14;20220712_21;RM;FI;Stable_subordinate;AMR4;1_Before;NA;GMC;Batch01;7.6;0;79.34;2874;3;3.8
2022-02-17;20220712_22;AD;CG;Stable_subordinate;AMR2;2_During;2_Instability;SRM;Batch01;10.7;0;132.66;2302;2;3.1
2022-05-04;20220712_23;LV;BY;Ascending_alpha;AMR1;2_During;3_End;YVA;Batch01;19.3;0.67;1777.78;0;NA;NA
2022-04-25;20220712_27;AD;WE;Stable_subordinate;AMR2;2_During;3_End;SRM;Batch01;8.5;0.34;1152.94;0;NA;NA
2022-05-10;20220712_28;AD;KN;Descending_alpha;AMR2;2_During;3_End;YVA;Batch01;13.4;2.85;578.59;0;NA;NA
2022-05-17;20220712_29;LV;BY;Ascending_alpha;AMR1;2_During;3_End;SRM;Batch01;19.4;3.09;498.69;0;NA;NA
2022-04-06;20220712_30;LV;SB;Stable_subordinate;AMR1;2_During;3_End;ACP;Batch01;7.3;0;2512.64;0;NA;NA
2022-05-19;20220712_33;GN;TD;Ascending_alpha;AMR5;1_Before;NA;JLW;Batch01;9.6;3.23;41.67;0;NA;NA
2022-03-15;20220712_34;RM;HE;Stable_subordinate;AMR4;1_Before;NA;GMC;Batch01;7.9;0;52.73;1820;2;4
2022-04-22;20220712_35;GN;TD;Ascending_alpha;AMR5;1_Before;NA;SRM;Batch01;9.5;0;539.58;0;NA;NA
2022-05-16;20220718_04;BC;ES;Descending_alpha;AMR6;1_Before;NA;SRM;Batch02;9.2;2.86;880.61;0;NA;NA
2022-01-19;20220718_05;RM;FG;Ascending_alpha;AMR3;1_Before;NA;MAG;Batch02;12.9;0.03;49.76;0;NA;NA
2022-04-27;20220718_08;AD;CG;Stable_subordinate;AMR2;2_During;3_End;GMC;Batch02;10.9;0.61;662.6;0;NA;NA
2022-03-23;20220718_09;LV;PW;Stable_subordinate;AMR1;2_During;3_End;JLW;Batch02;16.2;0;122.88;0;NA;NA
2022-01-18;20220718_10;AD;WE;Stable_subordinate;AMR2;2_During;1_Start;NKK;Batch02;8.2;0.03;43.42;0;NA;NA
2022-05-18;20220718_12;LV;PW;Stable_subordinate;AMR1;2_During;3_End;YVA;Batch02;16.4;3.16;179.29;0;NA;NA
2022-05-04;20220718_13;LV;SB;Stable_subordinate;AMR1;2_During;3_End;JLW;Batch02;7.4;0.67;3140;0;NA;NA
2022-04-25;20220718_16;AD;KN;Descending_alpha;AMR2;2_During;3_End;SRM;Batch02;13.3;0.34;437.89;0;NA;NA
2022-03-21;20220718_17;LV;BY;Ascending_alpha;AMR1;2_During;3_End;GMC;Batch02;19.2;0;21333.33;0;NA;NA
2022-03-30;20220718_19;AD;BD;Ascending_alpha;AMR2;2_During;3_End;ACP;Batch02;11.6;0;4782.22;0;NA;NA
2022-05-13;20220718_20;RM;KO;Descending_alpha;AMR4;1_Before;NA;SRM;Batch02;13.4;2.86;NA;0;NA;NA
2022-05-02;20220718_21;LV;HG;Stable_subordinate;AMR1;2_During;3_End;MAG;Batch02;15.1;0.62;56.17;0;NA;NA
2022-03-18;20220718_24;AD;CG;Stable_subordinate;AMR2;2_During;3_End;NKK;Batch02;10.8;0;48.62;0;NA;NA
2022-01-24;20220718_26;LV;BY;Ascending_alpha;AMR1;2_During;2_Instability;MAG;Batch02;19.1;0.03;162.33;9570;10;3.8
2022-05-10;20220718_27;AD;WE;Stable_subordinate;AMR2;2_During;3_End;MAG;Batch02;8.5;2.85;50.19;0;NA;NA
2022-01-10;20220718_31;RM;KO;Descending_alpha;AMR4;1_Before;NA;KMJ;Batch02;13;0.04;NA;0;NA;NA
2022-01-18;20220718_32;AD;KN;Descending_alpha;AMR2;2_During;1_Start;NAC;Batch02;13;0.03;317.29;0;NA;NA
2022-02-23;20220718_34;LV;BY;Ascending_alpha;AMR1;2_During;3_End;SRM;Batch02;19.1;0;81.07;12790;6;1.7
2022-05-19;20220718_35;GN;DD;Descending_alpha;AMR5;1_Before;NA;JLW;Batch02;14.4;3.23;579.62;0;NA;NA
2022-05-10;20220718_38;AD;CG;Stable_subordinate;AMR2;2_During;3_End;SRM;Batch02;11;2.85;60.2;0;NA;NA
2022-03-08;20220718_40;LV;HG;Stable_subordinate;AMR1;2_During;3_End;SRM;Batch02;14.9;0;367.91;5461;3;2
2022-01-15;20220718_41;RM;LO;Ascending_alpha;AMR4;1_Before;NA;MAG;Batch02;11;0.03;325.98;0;NA;NA
2022-03-28;20220718_42;AD;CG;Stable_subordinate;AMR2;2_During;3_End;GMC;Batch02;10.8;0;229.89;0;NA;NA
2022-05-04;20220718_43;LV;PW;Stable_subordinate;AMR1;2_During;3_End;JLW;Batch02;16.3;0.67;602.49;0;NA;NA
2022-02-17;20220718_46;AD;BD;Ascending_alpha;AMR2;2_During;2_Instability;NAC;Batch02;11.5;0;37.94;8790;5;2
2022-05-19;20220718_48;GN;EC;Stable_subordinate;AMR5;1_Before;NA;JLW;Batch02;13.4;3.23;183.33;0;NA;NA
2022-03-07;20220718_49;LV;PW;Stable_subordinate;AMR1;2_During;3_End;MAG;Batch02;16.2;0;728.55;2962;0;0
2022-05-30;20220718_50;LV;HG;Stable_subordinate;AMR1;2_During;3_End;YVA;Batch02;15.1;9.82;203.16;0;NA;NA
2022-03-30;20220718_52;AD;WE;Stable_subordinate;AMR2;2_During;3_End;ACP;Batch02;8.4;0;29.34;0;NA;NA
2022-04-05;20220718_53;LV;BY;Ascending_alpha;AMR1;2_During;3_End;SRM;Batch02;19.3;0;1029.33;0;NA;NA
2022-04-27;20220718_54;AD;BD;Ascending_alpha;AMR2;2_During;3_End;JLW;Batch02;11.7;0.61;2206.9;0;NA;NA
2022-04-22;20220718_55;GN;DD;Descending_alpha;AMR5;1_Before;NA;SRM;Batch02;14.3;0;735.42;0;NA;NA
2022-04-04;20220718_58;LV;PW;Stable_subordinate;AMR1;2_During;3_End;ACP;Batch02;16.3;0;698.34;0;NA;NA
2022-03-18;20220718_59;AD;WE;Stable_subordinate;AMR2;2_During;3_End;NKK;Batch02;8.4;0;NA;0;NA;NA
2022-01-18;20220718_62;AD;CG;Stable_subordinate;AMR2;2_During;1_Start;NKK;Batch02;10.7;0.03;45.37;0;NA;NA
2022-10-11;20230103_06;LV;PW;Stable_subordinate;AMR1;3_After;NA;RJM;Batch03;16.8;10.98;2381.71;3024;0;0
2022-10-25;20230103_07;RM;KO;Descending_alpha;AMR4;1_Before;NA;RSB;Batch03;13.8;8.2;401.94;1327;0;0
2022-06-07;20230103_09;AD;BD;Ascending_alpha;AMR2;2_During;3_End;SRM;Batch03;11.8;14.03;4413.79;0;NA;NA
2022-06-22;20230103_10;AD;CG;Stable_subordinate;AMR2;2_During;3_End;DSS;Batch03;11.1;17.07;8.44;9432;1;0.4
2022-08-01;20230103_11;GN;DD;Descending_alpha;AMR5;1_Before;NA;YVA;Batch03;14.6;11.03;697.07;7882;0;0
2022-05-26;20230103_13;RM;HE;Stable_subordinate;AMR4;1_Before;NA;DSS;Batch03;8.1;7.63;226.6;0;NA;NA
2022-11-02;20230103_16;GN;TD;Ascending_alpha;AMR5;1_Before;NA;MAG;Batch03;10;7.05;40.75;4197;2;1.7
2022-06-07;20230103_19;AD;WE;Stable_subordinate;AMR2;2_During;3_End;YVA;Batch03;8.6;14.03;219.11;0;NA;NA
2022-06-13;20230103_20;LV;SB;Stable_subordinate;AMR1;2_During;3_End;YVA;Batch03;7.5;16.64;99.47;0;NA;NA
2022-05-31;20230103_23;LV;PW;Stable_subordinate;AMR1;2_During;3_End;YVA;Batch03;16.4;9.87;182.06;0;NA;NA
2022-08-08;20230103_29;RM;LO;Ascending_alpha;AMR4;1_Before;NA;SRM;Batch03;11.6;5.8;98.93;1190;0;0
2022-06-13;20230103_30;LV;BY;Ascending_alpha;AMR1;2_During;3_End;SRM;Batch03;19.4;16.64;257.95;0;NA;NA
2022-06-07;20230103_33;AD;KN;Descending_alpha;AMR2;2_During;3_End;YVA;Batch03;13.4;14.03;55.87;0;NA;NA
2022-07-05;20230103_35;AD;CG;Stable_subordinate;AMR2;2_During;3_End;SRM;Batch03;11.1;16.35;152.68;1833;0;0
2022-07-12;20230103_38;LV;PW;Stable_subordinate;AMR1;2_During;3_End;DSS;Batch03;16.5;12.68;1088.71;3108;0;0
2022-06-01;20230103_40;LV;SB;Stable_subordinate;AMR1;2_During;3_End;SRM;Batch03;7.5;11.33;143.22;0;NA;NA
2022-10-28;20230103_43;RM;HE;Stable_subordinate;AMR4;1_Before;NA;RJM;Batch03;8.5;7.94;104.45;1786;0;0
2022-08-08;20230103_46;RM;KO;Descending_alpha;AMR4;1_Before;NA;YVA;Batch03;13.6;5.8;177.24;1219;0;0
2022-07-12;20230103_48;LV;SB;Stable_subordinate;AMR1;2_During;3_End;YVA;Batch03;7.6;12.68;173.33;0;NA;NA
2022-07-14;20230103_50;BC;ES;Descending_alpha;AMR6;1_Before;NA;YVA;Batch03;9.3;13.26;NA;5456;0;0
2022-07-05;20230103_56;AD;BD;Ascending_alpha;AMR2;2_During;3_End;SRM;Batch03;11.9;16.35;704.29;2469;1;1.5
2022-11-22;20230103_57;GN;DD;Descending_alpha;AMR5;1_Before;NA;WTA;Batch03;14.9;7.77;NA;2438;0;0
2022-10-03;20230103_60;AD;KN;Descending_alpha;AMR2;3_After;NA;RSB;Batch03;13.8;10.84;98.35;4231;0;0
2022-06-13;20230103_64;LV;HG;Stable_subordinate;AMR1;2_During;3_End;DSS;Batch03;15.2;16.64;110.4;0;NA;NA
2022-05-30;20230103_65;LV;BY;Ascending_alpha;AMR1;2_During;3_End;YVA;Batch03;19.4;9.82;94.6;0;NA;NA
2022-09-29;20230103_68;BC;ES;Descending_alpha;AMR6;1_Before;NA;SRM;Batch03;9.5;12.26;6097.23;7397;0;0
2022-10-25;20230103_71;RM;FG;Ascending_alpha;AMR3;2_During;1_Start;SRM;Batch03;13.7;8.2;119.36;1197;0;0
2022-06-13;20230103_74;LV;PW;Stable_subordinate;AMR1;2_During;3_End;YVA;Batch03;16.4;16.64;380.8;0;NA;NA
2022-07-12;20230111_04;LV;BY;Ascending_alpha;AMR1;2_During;3_End;MAG;Batch04;19.5;12.68;267.73;3017;0;0
2022-07-05;20230111_06;AD;WE;Stable_subordinate;AMR2;2_During;3_End;SRM;Batch04;8.7;16.35;82.45;1799;0;0
2022-11-10;20230111_07;RM;FI;Stable_subordinate;AMR4;1_Before;NA;SRM;Batch04;8.2;7.5;290.19;1203;0;0
2022-10-07;20230111_08;LV;HG;Stable_subordinate;AMR3;2_During;1_Start;RSB;Batch04;15.5;10.83;214.87;2199;0;0
2022-10-06;20230111_09;AD;BD;Ascending_alpha;AMR2;3_After;NA;SRM;Batch04;12.1;10.84;1731.61;2851;1;1.3
2022-08-01;20230111_11;GN;EC;Stable_subordinate;AMR5;1_Before;NA;SRM;Batch04;13.6;11.03;71.54;7306;1;0.5
2022-06-21;20230111_12;LV;BY;Ascending_alpha;AMR1;2_During;3_End;YVA;Batch04;19.5;16.98;117.22;2236;0;0
2022-08-08;20230111_13;RM;FG;Ascending_alpha;AMR3;1_Before;NA;SRM;Batch04;13.5;5.8;104.51;1198;0;0
2022-07-05;20230111_15;AD;KN;Descending_alpha;AMR2;2_During;3_End;YVA;Batch04;13.5;16.35;110.31;2433;0;0
2022-08-25;20230111_16;RM;HE;Stable_subordinate;AMR4;1_Before;NA;SRM;Batch04;8.3;8.55;25.39;600;0;0
2022-08-01;20230111_18;GN;TD;Ascending_alpha;AMR5;1_Before;NA;MAG;Batch04;9.8;11.03;93.81;7326;0;0
2022-10-25;20230111_19;RM;LO;Ascending_alpha;AMR4;1_Before;NA;RSB;Batch04;11.8;8.2;25.48;1207;0;0
2022-10-07;20230111_20;LV;SB;Stable_subordinate;AMR3;2_During;1_Start;RJM;Batch04;7.8;10.83;175.52;2451;0;0
2022-10-03;20230111_22;AD;WE;Stable_subordinate;AMR2;3_After;NA;WTA;Batch04;8.9;10.84;521.44;4009;0;0
2022-07-12;20230111_24;LV;HG;Stable_subordinate;AMR1;2_During;3_End;YVA;Batch04;15.2;12.68;48.16;3156;0;0
2022-06-23;20230111_27;AD;BD;Ascending_alpha;AMR2;2_During;3_End;SRM;Batch04;11.8;16.83;973.6;6001;0;0
2022-11-02;20230111_29;GN;EC;Stable_subordinate;AMR5;1_Before;NA;SRM;Batch04;13.8;7.05;140.58;4254;0;0
2022-10-24;20230111_30;LV;BY;Ascending_alpha;AMR1;3_After;NA;MAG;Batch04;19.8;8.38;133.22;3690;1;1
2022-10-03;20230111_31;AD;CG;Stable_subordinate;AMR2;3_After;NA;WTA;Batch04;11.4;10.84;937.78;4197;0;0
2023-02-07;20230626_05;GN;DD;Descending_alpha;AMR5;1_Before;NA;AGA;Batch05;15.1;0.04;NA;5371;2;1.3
2023-03-15;20230626_06;LV;HG;Stable_subordinate;AMR3;2_During;2_Instability;AGA;Batch05;15.9;0.17;6986.21;4877;3;2.2
2023-01-18;20230626_09;RM;LO;Ascending_alpha;AMR4;2_During;1_Start;WTA;Batch05;12;0;137.81;4184;3;2.6
2023-01-16;20230626_11;AD;BD;Ascending_alpha;AMR2;3_After;NA;SRM;Batch05;12.4;0;22960;1826;1;2
2023-01-17;20230626_13;RM;FG;Ascending_alpha;AMR3;2_During;1_Start;SRM;Batch05;13.9;0;104.16;4164;1;0.9
2023-01-30;20230626_15;RM;FI;Stable_subordinate;AMR4;2_During;1_Start;SRM;Batch05;8.4;0.04;54.61;4219;8;6.8
2023-01-26;20230626_16;LV;SB;Stable_subordinate;AMR3;2_During;1_Start;WTA;Batch05;8.2;0;575.75;4787;4;3
2023-01-09;20230626_18;BC;ES;Descending_alpha;AMR6;1_Before;NA;WTA;Batch05;9.8;0;10852.44;1780;2;4
2023-03-31;20230626_19;LV;HG;Stable_subordinate;AMR3;2_During;2_Instability;WTA;Batch05;16;0.84;92.55;0;NA;NA
2023-01-17;20230626_20;RM;HE;Stable_subordinate;AMR4;2_During;1_Start;SRM;Batch05;8.7;0;530.42;4215;2;1.7
2023-01-04;20230626_21;AD;WE;Stable_subordinate;AMR2;3_After;NA;SRM;Batch05;9.2;0.05;161.37;1794;1;2
2023-01-30;20230626_24;RM;KO;Descending_alpha;AMR4;2_During;1_Start;AGA;Batch05;14.1;0.04;1485.15;5379;6;4
2023-01-24;20230626_27;GN;EC;Stable_subordinate;AMR5;1_Before;NA;WTA;Batch05;14.1;0;740.28;5978;6;3.6
2023-01-04;20230626_29;AD;KN;Descending_alpha;AMR2;3_After;NA;SRM;Batch05;14;0.05;243.99;1767;0;0
2023-03-15;20230626_30;LV;SB;Stable_subordinate;AMR3;2_During;2_Instability;SRM;Batch05;8.3;0.17;2941.81;4823;2;1.5
2023-01-04;20230626_34;AD;CG;Stable_subordinate;AMR2;3_After;NA;WTA;Batch05;11.6;0.05;294.92;1774;1;2
2023-01-24;20230626_37;GN;TD;Ascending_alpha;AMR5;1_Before;NA;SRM;Batch05;10.3;0;150.6;6046;4;2.4
2023-04-03;20230626_38;BC;ES;Descending_alpha;AMR6;1_Before;NA;SRM;Batch05;10.1;0.84;3563.28;5872;6;3.7
2023-04-14;20230904_04;AD;CG;Stable_subordinate;AMR2;3_After;NA;WTA;Batch06;11.9;0.68;135.68;0;NA;NA
2023-06-13;20230904_05;LV;BS;Stable_subordinate;AMR3;2_During;2_Instability;CMS;Batch06;6.3;2.32;111.58;1238;0;0
2023-04-21;20230904_06;GN;EC;Stable_subordinate;AMR5;2_During;1_Start;RSB;Batch06;14.3;0;484.22;3162;3;3.4
2023-07-06;20230904_08;RM;MK;Stable_subordinate;AMR4;2_During;2_Instability;CMS;Batch06;7;3.18;NA;0;NA;NA
2023-04-27;20230904_09;AD;BD;Ascending_alpha;AMR2;3_After;NA;SRM;Batch06;12.7;0;7402.11;2401;1;1.5
2023-06-12;20230904_10;LV;MC;Stable_subordinate;AMR3;2_During;2_Instability;CMS;Batch06;6.4;2.28;144.83;1218;0;0
2023-04-25;20230904_12;RM;FG;Ascending_alpha;AMR3;2_During;2_Instability;AGA;Batch06;14.2;0;903.81;6134;2;1.2
2023-06-12;20230904_13;LV;HG;Stable_subordinate;AMR3;2_During;2_Instability;CMS;Batch06;16.2;2.28;540.87;1852;1;1.9
2023-06-29;20230904_15;LV;BS;Stable_subordinate;AMR3;2_During;2_Instability;SRM;Batch06;6.3;3.38;183.38;5351;0;0
2023-04-13;20230904_16;AD;KN;Descending_alpha;AMR2;3_After;NA;AGA;Batch06;14.3;0.72;NA;0;NA;NA
2023-07-10;20230904_17;LV;MC;Stable_subordinate;AMR3;2_During;3_End;CMS;Batch06;6.5;2.55;174.98;6231;0;0
2023-07-06;20230904_18;RM;HE;Stable_subordinate;AMR4;2_During;2_Instability;RSB;Batch06;9.2;3.18;253.65;0;NA;NA
